a,b,op,c,d,real,imaginary
24,94,3,98,27,0.473241072292655,0.828800929062228
3,77,3,32,45,1.16792390947852,0.763857002295835
8,78,3,76,43,0.519606557377049,0.732327868852459
97,21,3,44,5,2.22998470168281,0.223865374808771
9,56,3,45,43,0.726122870418172,0.550593701600413
35,81,3,56,2,0.675796178343949,1.42229299363057
55,95,3,46,26,1.79083094555874,1.05300859598854
10,74,3,98,99,0.428034011852615,0.322700334965215
66,68,3,77,2,0.879487611663576,0.860273049047699
13,38,3,60,47,0.441728352556378,0.287312790497504
28,43,3,94,71,0.409670678100454,0.1480147005837
73,93,3,40,42,2.02913198573127,0.194411414982164
3,55,3,96,70,0.293142533295551,0.359166902805327
23,64,3,25,41,1.38725065047702,0.284908933217693
36,70,3,52,42,1.07699194270367,0.476275738585497
69,79,3,55,5,1.37377049180328,1.31147540983607
95,66,3,89,12,1.14655920644761,0.586980781153131
14,20,3,60,35,0.319170984455958,0.147150259067357
39,67,3,24,30,1.99593495934959,0.296747967479675
7,79,3,43,95,0.7178591134817,0.251241493470664
40,41,3,43,1,0.951891891891892,0.931351351351351
54,72,3,86,32,0.825178147268409,0.530166270783848
87,43,3,59,9,1.54969118472768,0.492419988770354
71,65,3,99,32,0.841478060046189,0.384572748267898
63,76,3,91,33,0.879509071504802,0.516221985058698
15,70,3,72,46,0.589041095890411,0.595890410958904
5,94,3,86,86,0.575581395348837,0.517441860465116
14,67,3,62,80,0.607965638422491,0.296173369777431
28,96,3,77,60,0.830727253646762,0.599433308846679
10,87,3,99,61,0.46568554947493,0.591850318000296
52,87,3,46,10,1.47202166064982,1.57129963898917
78,48,3,11,6,7.29936305732484,0.382165605095541
7,52,3,62,48,0.476577748861418,0.469746258945999
53,55,3,16,15,3.47817047817048,0.176715176715177
3,53,3,97,96,0.288805369127517,0.260563758389262
40,87,3,62,96,0.829402756508423,0.118989280245023
59,63,3,62,60,0.999193981730253,0.0491671144545943
3,81,3,14,25,2.51766138855055,1.28989037758831
33,86,3,93,6,0.412780656303972,0.898100172711572
9,40,3,37,23,0.660168598524763,0.670706006322445
3,42,3,65,12,0.159990844586862,0.616617074845502
41,93,3,46,7,1.17182448036952,1.84341801385681
