a,b,op,c,d,real,imaginary
19,98,2,4,40,-3844,1152
30,18,0,69,5,99,23
47,44,0,69,72,116,116
74,7,2,64,80,4176,6368
85,99,2,29,99,-7336,11286
46,55,2,74,18,2414,4898
85,26,2,30,57,1068,5625
42,1,3,46,7,0.895612009237875,-0.114549653579677
79,51,3,23,1,3.52452830188679,2.06415094339623
48,64,2,4,76,-4672,3904
67,6,1,29,0,38,6
42,9,3,45,59,0.4397021431166,-0.376498365419542
28,30,3,58,60,0.491671453187823,0.00861573808156232
27,14,3,26,6,1.10393258426966,0.283707865168539
41,38,1,87,96,-46,-58
64,74,0,80,73,144,147
86,78,1,2,88,84,-10
44,43,0,47,54,91,97
4,37,0,17,32,21,69
20,46,0,55,58,75,104
18,71,1,46,33,-28,38
82,61,3,61,24,1.50477077030486,0.407959041191529
32,99,0,95,4,127,103
28,6,0,38,96,66,102
25,62,3,88,54,0.520450281425891,0.385178236397749
18,9,3,37,71,0.203588143525741,-0.147425897035881
50,14,2,84,40,3640,3176
26,10,0,71,10,97,20
59,0,1,95,19,-36,-19
40,15,0,20,93,60,108
49,46,1,25,84,24,-38
96,73,2,13,50,-2402,5749
53,81,0,2,72,55,153
38,34,1,10,85,28,-51
88,68,0,7,28,95,96
75,46,2,80,44,3976,6980
80,28,1,54,23,26,5
49,34,3,65,98,0.471256056113963,-0.187432207679514
97,20,0,71,55,168,75
61,72,3,85,24,0.886168439943597,0.596846558133573
97,50,0,89,93,186,143
17,4,0,94,13,111,17
34,69,2,92,20,1748,7028
10,41,1,26,0,-16,41
51,89,0,53,72,104,161
3,80,2,15,4,-275,1212
43,43,1,80,19,-37,24
51,11,2,98,7,4921,1435
14,34,1,39,2,-25,32
5,9,1,54,30,-49,-21
49,17,3,28,73,0.427449697366269,-0.507279568133486
18,40,3,77,35,0.389432485322896,0.342465753424657
18,29,3,12,76,0.408783783783784,-0.172297297297297
76,62,2,43,58,-328,7074
58,49,1,20,67,38,-18
60,20,2,31,98,-100,6500
64,23,1,16,60,48,-37
15,43,1,78,89,-63,-46
28,74,0,32,3,60,77
10,90,0,72,80,82,170
57,43,2,20,76,-2128,5192
70,23,0,54,22,124,45
39,1,2,54,15,2091,639
95,30,2,83,88,5245,10850
75,39,0,42,7,117,46
23,82,2,98,80,-4306,9876
59,74,0,23,53,82,127
76,30,3,98,18,0.804593070104754,0.158340048348106
95,29,3,63,37,1.3222180591982,-0.316223304608468
57,78,3,33,80,1.08439043931099,-0.265188943784217
22,86,0,70,51,92,137
29,93,3,17,31,2.7008,0.5456
68,27,0,43,15,111,42
77,70,0,98,5,175,75
18,84,2,91,85,-5502,9174
31,97,0,36,78,67,175
20,78,1,18,7,2,71
25,78,2,56,13,386,4693
5,31,0,98,94,103,125
14,53,1,48,8,-34,45
59,76,1,58,74,1,2
58,72,2,82,92,-1868,11240
44,20,1,48,30,-4,-10
51,1,1,11,1,40,0
35,40,0,20,90,55,130
96,36,3,31,36,1.89277802392556,-1.03677447939743
65,83,0,72,87,137,170
2,13,2,19,44,-534,335
53,75,3,66,25,1.07869905641437,0.727765508933949
71,72,0,6,61,77,133
68,60,2,6,77,-4212,5596
49,2,0,6,32,55,34
88,48,2,15,58,-1464,5824
14,62,2,86,63,-2702,6214
44,34,3,35,29,1.22265246853824,-0.0416263310745402
95,74,3,53,93,1.04005934718101,-0.428783382789317
45,25,2,53,11,2110,1820
22,51,0,91,2,113,53
60,61,2,24,70,-2830,5664
40,4,0,13,13,53,17
60,51,3,78,0,0.769230769230769,0.653846153846154
19,22,3,15,31,0.815345699831366,-0.218381112984823
49,31,3,10,17,2.61439588688946,-1.34447300771208
34,13,3,34,8,1.0327868852459,0.139344262295082
87,96,0,45,82,132,178
47,90,1,81,12,-34,78
64,49,2,68,75,677,8132
73,10,2,32,40,1936,3240
18,32,0,30,1,48,33
61,96,1,61,30,0,66
19,30,3,19,54,0.604516325907843,-0.1391516631065
98,3,0,19,33,117,36
86,16,3,18,55,0.7249925350851,-1.32636607942669
14,56,1,8,95,6,-39
7,83,0,31,20,38,103
29,64,3,23,42,1.4631487134758,0.11077191452246
60,94,1,69,38,-9,56
55,96,2,46,23,322,5681
23,87,0,90,92,113,179
46,95,1,19,26,27,69
90,59,2,27,34,424,4653
31,28,1,51,10,-20,18
59,50,0,93,1,152,51
2,82,3,85,5,0.08,0.96
81,30,1,34,49,47,-19
2,38,0,88,7,90,45
86,34,1,41,21,45,13
85,20,1,42,24,43,-4
12,75,2,85,64,-3780,7143
90,17,3,33,40,1.35738192636668,-1.13015991074749
45,36,0,43,4,88,40
22,58,2,78,21,498,4986
37,41,2,58,25,1121,3303
65,47,2,73,20,3805,4731
8,33,2,1,20,-652,193
12,35,0,54,39,66,74
6,2,2,41,23,200,220
97,40,0,42,85,139,125
9,25,3,96,24,0.149509803921569,0.223039215686275
13,66,3,48,14,0.6192,1.1944
90,54,0,0,56,90,110
66,79,3,29,71,1.27898673920435,-0.407174430465828
59,58,0,50,14,109,72
50,78,0,87,15,137,93
94,32,0,35,18,129,50
54,11,2,82,68,3680,4574
13,86,1,27,81,-14,5
69,33,1,22,23,47,10
88,41,0,60,91,148,132
88,93,0,84,27,172,120
22,54,2,23,66,-3058,2694
52,24,2,13,7,508,676
11,14,3,9,6,1.56410256410256,0.512820512820513
85,92,2,30,33,-486,5565
15,5,1,82,98,-67,-93
85,21,0,37,76,122,97
71,41,0,71,99,142,140
